round,beta,J_values,theat,emprical,False Negative,False Positive,pairty,emprical_total,False Negative_total,False Positive_total
1,   0.42723,8106, -85.50000,   0.31813,   0.22449,   0.09364,-1,   0.28892,   0.11405,   0.17487
2,   0.38050,10264, -39.50000,   0.38375,   0.25290,   0.13085,-1,   0.44578,   0.35654,   0.08924
3,   0.67245,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
4,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
5,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
6,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
7,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
8,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
9,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
10,   1.00000,8106,  43.50000,   0.36695,   0.20608,   0.16086,1,   0.44098,   0.35134,   0.08964
